Name;Organisation;Country;Pays;Pais;URL;Description;Location;Latitude;Longitude;Has Issue;Issue Type;Code En;Code Fr;Country Slug;Thematic;Portal typology;Code Es
Administrative Boundaries;National Mapping and Resource Information Authority;Philippines;Philippines;Filipinas;https://www.geoportal.gov.ph/viewer;;11.7418326576, 122.878708394;;;;;Philippines - Administrative Boundaries;Philippines - Administrative Boundaries;philippines;Geospatial;Public Sector, National Level;Filipinas - Administrative Boundaries
Air Quality;Insivumeh;Guatemala;Guatemala;Guatemala;https://www.insivumeh.gob.gt:8080/calidadaire/datoshorarios.htm;;15.7021351228, -90.3562422681;;;;;Guatemala - Air Quality;Guatemala - Air Quality;guatemala;Environment;Public Sector, National Level;Guatemala - Air Quality
Air Quality;Instituto de Hidrología, Meteorología y Estudios Ambientales-IDEAM;Colombia;Colombie;Colombia;https://www.datos.gov.co/Ambiente-y-Desarrollo-Sostenible/INMISIONES-DATOS-DE-CONTAMINANTES-Y-CLIMATOL%C3%93GICOS/ie26-cpc9;;3.90115584015, -73.0733688192;;;;;Colombia - Air Quality;Colombie - Air Quality;colombia;Environment;Public Sector, National Level;Colombia - Air Quality
Company Register;The National Institute of Statistics and Economic Studies (INSEE), National Institute of Industrial Property  and the Commercial Courts regrouped under Infogreffe, all collect or manage company data.;France;France;Francia;https://www.sirene.fr/sirene/public/accueil;;46.564502054, 2.55195521678;;;;;France - Company Register;France - Company Register;france;Economy,Administration;Public Sector, National Level;Francia - Company Register
Company Register;Department of  Business Development Electronic Government Agency (Public Organization);Thailand;Thaïlande;Tailandia;https://www.dbd.go.th/ewt_news.php?nid=12385&filename=index;;15.127035821, 101.017360947;;;;;Thailand - Company Register;Thaïlande - Company Register;thailand;Economy,Administration;Public Sector, National Level;Tailandia - Company Register
Draft Legislation;Department of the House of Representatives, Department of the Senate;Australia;Australie;Australia;https://www.aph.gov.au/Parliamentary_Business/Chamber_documents;;-25.7349682419, 134.489562473;;;;;Australia - Draft Legislation;Australie - Draft Legislation;australia;Administration;Public Sector, National Level;Australia - Draft Legislation
Draft Legislation;National Assembly;Thailand;Thaïlande;Tailandia;https://www.bb.go.th/bbweb/?page_id=6045;;15.127035821, 101.017360947;;;;;Thailand - Draft Legislation;Thaïlande - Draft Legislation;thailand;Administration;Public Sector, National Level;Tailandia - Draft Legislation
Draft Legislation;Assembly of Republic of Macedonia;Republic of North Macedonia;Macédoine du Nord;Macedonia del Norte;https://www.sobranie.mk/materijali.nspx;;41.5996823123, 21.6974762673;;;;;Republic of North Macedonia - Draft Legislation;Macédoine du Nord - Draft Legislation;republic-of-north-macedonia;Administration;Public Sector, National Level;Macedonia del Norte - Draft Legislation
Election Results;Corte Electoral;Uruguay;Uruguay  masc.;Uruguay;https://eleccionesdepartamentales.corteelectoral.gub.uy/json/ResumenGeneral_P_DPTOS.json;;-32.7996453411, -56.0123963779;;;;;Uruguay - Election Results;Uruguay  masc. - Election Results;uruguay;Administration;Public Sector, National Level;Uruguay - Election Results
Government Budget;Ministry of Finance;Denmark;Danemark;Dinamarca;https://www.oes-cs.dk/bevillingslove/data.html;;55.9633982423, 10.0462984147;;;;;Denmark - Government Budget;Danemark - Government Budget;denmark;Administration,Economy;Public Sector, National Level;Dinamarca - Government Budget
